iern,school_id,school_name,region,division,district,leg_district,latitude,longitude,match_key,linear_distance_km,distance_outlier_percentile,nearby_school_count,isolation_forest_score,isolation_forest_outlier,coordinate_outlier_category,coordinate_outlier_method
2026-35853,303380,Juan Villablanca Memorial High School,REGION VIII,LEYTE,PASTRANA,2ND DISTRICT,12.88321,121.864153,regionviii_leyte,358.63035,99.84,0,36.547445,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-32900,303098,Santander National High School,REGION VII,CEBU,SANTANDER,2ND DISTRICT,9.4170777,123.3388536,regionvii_cebu,119.460728,99.21,10,4.121067,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-26616,302281,Bantayan National High School,REGION V,TABACO CITY,TABACO NORTH,1ST DISTRICT,12.940239,123.969448,regionv_tabaco,50.741363,100,0,44.188461,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-18679,108880,Mambog Elementary School ,REGION IV-A,QUEZON,MACALELON,3RD DISTRICT,12.530044,124.285813,iva_quezon,326.336107,100,0,15.263706,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-31628,118596,Kabangkalan Elementary School ,REGION VII,BOHOL,PRES. C. P. GARCIA,2ND DISTRICT,10.1021241,124.6014659,regionvii_bohol,95.20345,99.2,12,4.057166,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-13359,104643,Ipag Elementary School,REGION III,BATAAN,MARIVELES,3RD DISTRICT,14.4297841,120.47826,regioniii_bataan,33.514343,99.53,14,3.575446,FALSE,extreme_outlier,univariate_percentile
2026-26071,114173,Pinamanaan Elementary School,REGION V,SORSOGON,DONSOL WEST,1ST DISTRICT,13.01151,123.54328,regionv_sorsogon,52.600089,98.67,11,4.085764,TRUE,isolation_forest_outlier,isolation_forest
2026-14177,306287,F. Buencamino Sr. Integrated School,REGION III,NUEVA ECIJA,GABALDON,3RD DISTRICT,15.4463829,121.3426592,regioniii_nuevaecija,54.351763,95.81,10,4.856498,TRUE,isolation_forest_outlier,isolation_forest
2026-45743,131393,Mangga Elementary School,REGION XII,KORONADAL CITY,KORONADAL SOUTH DISTRICT II,2ND DISTRICT,6.4036549,124.8867547,regionxii_koronadal,11.870375,96.3,6,3.666567,TRUE,isolation_forest_outlier,isolation_forest
2026-07523,305449,Potrero National High School ,NCR,MALABON CITY,MALABON DISTRICT IV,LONE DISTRICT,13.277373,121.217651,ncr_malabon,156.173121,100,0,236.921555,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-27252,502558,Bunlao Integrated School,REGION VI,ANTIQUE,CALUYA,LONE DISTRICT,12.016994,121.378669,regionvi_antique,154.168214,98.88,4,15.092808,TRUE,isolation_forest_outlier,isolation_forest
2026-32703,119549,Pilar Central School,REGION VII,CEBU,PILAR,5TH DISTRICT,10.80707273,124.565869,regionvii_cebu,89.546695,81.98,4,4.112217,TRUE,isolation_forest_outlier,isolation_forest
2026-05626,301674,Mangsee National High School,MIMAROPA,PALAWAN,BALABAC,2ND DISTRICT,7.509833,117.311883,mimaropa_palawan,253.490678,79.24,1,3.6441,TRUE,isolation_forest_outlier,isolation_forest
2026-31803,500210,CATABAN INTEGRATED SCHOOL,REGION VII,BOHOL,TALIBON II,2ND DISTRICT,10.2305278,124.3837549,regionvii_bohol,85.776259,96.35,3,3.951335,TRUE,isolation_forest_outlier,isolation_forest
2026-05411,110616,Minolo ES,MIMAROPA,ORIENTAL MINDORO,PUERTO GALERA,1ST DISTRICT,13.503588,120.917076,mimaropa_orientalmindoro,30.162304,33.7,12,5.110774,TRUE,isolation_forest_outlier,isolation_forest
2026-07256,136677,Nangka Elementary School,NCR,MARIKINA CITY,MARIKINA CITY DISTRICT II,2ND DISTRICT,14.67325,121.10841,ncr_marikina,4.859444,100,24,4.96144,FALSE,extreme_outlier,univariate_percentile
2026-17891,108193,San Andres Elementary School,REGION IV-A,LAGUNA,ALAMINOS,3RD DISTRICT,14.0597297,121.2180864,iva_laguna,32.416808,99.42,14,5.104336,FALSE,extreme_outlier,univariate_percentile
2026-06302,305527,Tara High School,MIMAROPA,PALAWAN,CORON INLAND,1ST DISTRICT,12.283867,120.363496,mimaropa_palawan,373.793208,99.28,2,3.861627,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-07105,136593,Kalayaan Elementary School ,NCR,PASAY CITY,PASAY CITY SOUTH DISTRICT,LONE DISTRICT,14.505,121.0298,ncr_pasay,5.389699,100,13,10.500576,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-16242,107106,Jose S. Galang Elementary School,REGION III,CABANATUAN CITY,CABANATUAN CITY SOUTH DISTRICT,3RD DISTRICT,15.46203,121.0646,regioniii_cabanatuan,10.066807,98.46,7,4.874914,TRUE,isolation_forest_outlier,isolation_forest
2026-31635,118605,Tilmobo ES,REGION VII,BOHOL,PRES. C. P. GARCIA,2ND DISTRICT,10.124045,124.641158,regionvii_bohol,100.18306,99.82,4,4.443279,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-14841,300913,Salapungan National High School,REGION III,PAMPANGA,CANDABA EAST,4TH DISTRICT,15.1377493,120.9328683,regioniii_pampanga,28.935709,99.12,9,4.483567,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-31627,118595,Gaus ES,REGION VII,BOHOL,PRES. C. P. GARCIA,2ND DISTRICT,10.1955348,124.566332,regionvii_bohol,97.886022,99.64,1,4.494064,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-32307,119201,Santikan Elementary School,REGION VII,CEBU,CARMEN,5TH DISTRICT,15.176876,115.857024,regionvii_cebu,1024.513398,100,0,56.740672,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-18476,108710,Loilo ES,REGION IV-A,QUEZON,GEN. NAKAR,1ST DISTRICT,15.059754,121.504884,iva_quezon,123.043159,95.2,1,8.38599,TRUE,isolation_forest_outlier,isolation_forest
2026-17512,107520,Utod Elementary School,REGION IV-A,BATANGAS,NASUGBU WEST,1ST DISTRICT,14.1192461,120.6469848,iva_batangas,60.104047,98.72,16,5.101283,TRUE,isolation_forest_outlier,isolation_forest
2026-39763,127017,Calibao ES,REGION X,LANAO DEL NORTE,SULTAN NAGA DIMAPORO,2ND DISTRICT,7.710795,123.80989,regionx_lanaodelnorte,64.449709,92.95,6,3.622614,TRUE,isolation_forest_outlier,isolation_forest
2026-38775,122405,Pinanag-an Elementary School,REGION VIII,BORONGAN CITY,BORONGAN SOUTH,LONE DISTRICT,11.4912388,125.336299,regionviii_borongan,17.726066,98.28,4,6.794779,TRUE,isolation_forest_outlier,isolation_forest
2026-35695,121694,Monte Alegre Elementary School,REGION VIII,LEYTE,MATALOM SOUTH,5TH DISTRICT,10.261899,124.8631706,regionviii_leyte,94.992617,99.07,6,6.334984,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-14155,105300,Bantug Elementary School,REGION III,NUEVA ECIJA,GABALDON,3RD DISTRICT,15.4375862,121.3283709,regioniii_nuevaecija,53.713077,94.76,10,4.738541,TRUE,isolation_forest_outlier,isolation_forest
2026-27047,310603,LAMBERTO H. TIROL NATIONAL HIGH SCHOOL,REGION VI,AKLAN,MALAY,LONE DISTRICT,11.99147,121.91616,regionvi_aklan,54.942594,99.47,3,7.8774,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-17879,301222,Trece Martires City National High School,REGION IV-A,CAVITE,TRECE MARTIREZ CITY,6TH DISTRICT,14.2799351,120.8648232,iva_cavite,0.346815,0.31,24,4.516025,TRUE,isolation_forest_outlier,isolation_forest
2026-04216,304844,Sering National High School,CARAGA,DINAGAT ISLAND,RIZAL,LONE DISTRICT,7.351571,125.441895,caraga_dinagatisland,312.435114,99.31,0,54.600448,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-41441,128288,Buhi Elementary School,REGION XI,DAVAO DE ORO,LAAK,2ND DISTRICT,7.901277,125.702176,regionxi_davaodeoro,48.222525,94.03,2,3.915479,TRUE,isolation_forest_outlier,isolation_forest
2026-16307,305991,San Isidro National High School,REGION III,CITY OF SAN JOSE DEL MONTE,SAN JOSE DEL MONTE EAST,LONE DISTRICT,14.82371,121.14173,regioniii_sanjosedelmonte,11.124667,100,6,7.298965,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-45430,131184,Lupoken Elementary School,REGION XII,SULTAN KUDARAT,PALIMBANG I,2ND DISTRICT,6.1937468,124.2178016,regionxii_sultankudarat,75.152076,99.02,7,4.424916,FALSE,extreme_outlier,univariate_percentile
2026-38855,121146,Maybog Elementary School,REGION VIII,BAYBAY CITY,BAYBAY IV,5TH DISTRICT,10.84518,124.74722,regionviii_baybay,19.837697,100,2,7.998239,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-17504,107498,Bunducan Elementary School,REGION IV-A,BATANGAS,NASUGBU WEST,1ST DISTRICT,14.094254,120.645794,iva_batangas,58.398498,97.72,20,4.819933,TRUE,isolation_forest_outlier,isolation_forest
2026-11630,501676,Isabela SPED Center Extension ( School for the Deaf),REGION II,ISABELA,GAMU,2ND DISTRICT,14.127031,122.193604,regionii_isabela,337.072129,99.66,0,27.560939,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-20246,107944,Angel L. Bawalan Elementary School.,REGION IV-A,GENERAL TRIAS CITY,GENERAL TRIAS I,6TH DISTRICT,14.227349,120.907759,iva_generaltrias,16.576196,100,3,5.630489,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-09020,300171,Beleng National High School,REGION I,"PANGASINAN I, LINGAYEN",BAYAMBANG I,3RD DISTRICT,12.879489,121.774209,regioni_pangasinanilingayen,387.831968,99.55,1,46.391334,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-07998,100337,Danac Elementary School,REGION I,ILOCOS SUR,ALILEM-SUGPON,2ND DISTRICT,16.77910917,120.5400828,regioni_ilocossur,90.120377,99.6,4,3.858006,FALSE,extreme_outlier,univariate_percentile
2026-39643,126914,Mambajao Central School,REGION X,CAMIGUIN,MAMBAJAO,LONE DISTRICT,9.249087,124.719887,regionx_camiguin,0.866766,3.03,13,3.472385,TRUE,isolation_forest_outlier,isolation_forest
2026-13140,306504,Diagyan NHS,REGION III,AURORA,DILASAG,LONE DISTRICT,16.4453834,122.2021609,regioniii_aurora,71.999821,89.77,4,10.716023,TRUE,isolation_forest_outlier,isolation_forest
2026-16121,307110,Batiawan Integrated School Annex,REGION III,ZAMBALES,SUBIC,1ST DISTRICT,14.946498,120.448719,regioniii_zambales,65.168362,99.05,1,4.376531,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-17518,307722,Bunducan National High School,REGION IV-A,BATANGAS,NASUGBU WEST,1ST DISTRICT,14.094633,120.645228,iva_batangas,58.472418,97.86,19,4.829057,TRUE,isolation_forest_outlier,isolation_forest
2026-36610,122558,Cagusu-an Elementary School,REGION VIII,EASTERN SAMAR,GUIUAN SOUTH,LONE DISTRICT,10.7217,125.81682,regionviii_easternsamar,106.359746,99.78,0,5.99326,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-12865,103240,San Isidro Elementary School,REGION II,CAUAYAN CITY,CAUAYAN WEST DISTRICT,6TH DISTRICT,16.8700247,121.9846559,regionii_cauayan,27.562965,98.75,0,7.102252,TRUE,isolation_forest_outlier,isolation_forest
2026-33846,120328,Nasunggan ES,NIR,NEGROS ORIENTAL,LA LIBERTAD,1ST DISTRICT,10.09793,123.13489,nir_negrosoriental,89.145682,99.22,8,3.178448,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-30216,181003,Kabugwason Elementary School,NIR,BACOLOD CITY,BACOLOD CITY IV DISTRICT,LONE DISTRICT,12.40462,122.936497,nir_bacolod,193.438317,100,0,115.718898,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-34781,120855,Viga Elementary school,REGION VIII,BILIRAN,MARIPIPI,LONE DISTRICT,11.8059196,124.3064583,regionviii_biliran,27.716427,100,8,4.672432,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-09950,102025,Camangaan Elementary School,REGION I,"PANGASINAN II, BINALONAN",SISON,5TH DISTRICT,15.211585,120.777254,regioni_pangasinaniibinalonan,95.698958,99.29,0,18.946766,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-11813,500067,Dolores Integrated School,REGION II,ISABELA,QUIRINO,2ND DISTRICT,12.411775,122.311393,regionii_isabela,528.171244,99.89,0,44.661626,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-45851,137368,Cawag Primary School,REGION I,ILOCOS SUR,CERVANTES-QUIRINO,2ND DISTRICT,16.9771432,120.7643697,regioni_ilocossur,77.597698,96.05,10,7.177139,TRUE,isolation_forest_outlier,isolation_forest
2026-40374,127299,Liloan Central School ,REGION X,MISAMIS OCCIDENTAL,BONIFACIO WEST,2ND DISTRICT,8.0501033,123.5654936,regionx_misamisoccidental,55.178747,99.11,9,5.639591,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-02817,131719,Datu Subla Elementary School,CARAGA,AGUSAN DEL SUR,LORETO SOUTH,2ND DISTRICT,7.9691524,125.755297,caraga_agusandelsur,67.692499,99.62,3,2.873773,FALSE,extreme_outlier,univariate_percentile
2026-17517,307718,Balaytigue National High School,REGION IV-A,BATANGAS,NASUGBU WEST,1ST DISTRICT,14.1309091,120.5974859,iva_batangas,65.011365,99.43,4,5.649145,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-43714,129936,Gastav Elementary School,REGION XII,NORTH COTABATO,BANISILAN NORTH,3RD DISTRICT,7.5851242,124.7191101,regionxii_northcotabato,76.153731,92.98,5,3.965033,TRUE,isolation_forest_outlier,isolation_forest
2026-39226,126527,Palabucan Elementary School,REGION X,BUKIDNON,LIBONA,1ST DISTRICT,12.909271,121.830445,regionx_bukidnon,638.576034,100,0,58.279428,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-30510,117786,Bairan ES,NIR,SAN CARLOS CITY,SAN CARLOS CITY DISTRICT IV,1ST DISTRICT,10.396061,123.309462,nir_sancarlos,15.397332,88.65,7,64.371742,TRUE,isolation_forest_outlier,isolation_forest
2026-23340,112042,Nstr. Sra De Guadalupe Elementary School,REGION V,ALBAY,RAPU-RAPU EAST (RAPU-RAPU),2ND DISTRICT,13.209995,124.159151,regionv_albay,46.934544,96.22,9,4.625083,TRUE,isolation_forest_outlier,isolation_forest
2026-29875,302599,Bulwangan National High School,NIR,NEGROS OCCIDENTAL,HINOBAAN,6TH DISTRICT,9.5191,122.5338,nir_negrosoccidental,150.498776,97.74,3,5.854845,TRUE,isolation_forest_outlier,isolation_forest
2026-28771,116200,Asluman Elementary School,REGION VI,ILOILO,CARLES,5TH DISTRICT,11.6189354,123.352317,regionvi_iloilo,132.932547,99.57,5,9.193265,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-32798,303079,PITALO National High School,REGION VII,CEBU,SAN FERNANDO,1ST DISTRICT,8.023409,124.117114,regionvii_cebu,258.53149,99.83,0,10.827562,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-25724,502975,Panisijan Integrated School,REGION V,MASBATE,USON-NORTH,3RD DISTRICT,14.5995,120.9842,regionv_masbate,378.40315,99.86,0,25.865319,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-34210,501427,Larena Integrated School,NIR,SIQUIJOR,LARENA,LONE DISTRICT,9.2535205,123.5935315,nir_siquijor,0.137794,1.27,9,4.302809,TRUE,isolation_forest_outlier,isolation_forest
2026-26872,114709,Santander ES,REGION VI,AKLAN,BURUANGA,LONE DISTRICT,11.78529,121.86516,regionvi_aklan,51.062477,97.89,4,7.57296,TRUE,isolation_forest_outlier,isolation_forest
2026-34617,120633,Maglahos Elementary School,NIR,GUIHULNGAN CITY,VALLEHERMOSO,1ST DISTRICT,10.39952,123.27242,nir_guihulngan,31.232745,100,7,3.88662,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-41489,305775,Datu Davao National High School,REGION XI,DAVAO DE ORO,LAAK,2ND DISTRICT,7.979253,125.661879,regionxi_davaodeoro,57.707496,99.28,3,4.924115,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-35677,121680,Pong-on Elementary School,REGION VIII,LEYTE,MATALOM NORTH,5TH DISTRICT,10.2803428,124.8074949,regionviii_leyte,91.302872,98.13,19,6.038255,TRUE,isolation_forest_outlier,isolation_forest
2026-18470,108703,Canaway ES,REGION IV-A,QUEZON,GEN. NAKAR,1ST DISTRICT,15.0011059,121.5451652,iva_quezon,116.062118,92.59,3,7.908517,TRUE,isolation_forest_outlier,isolation_forest
2026-29556,501357,Don Juan B. Celino Integrated School,REGION VI,ROXAS CITY,ROXAS CITY DISTRICT III,1ST DISTRICT,11.4850819,122.7386049,regionvi_roxas,11.660959,100,8,4.471681,FALSE,extreme_outlier,univariate_percentile
2026-27045,302295,Boracay NHS-Main,REGION VI,AKLAN,MALAY,LONE DISTRICT,11.9654442,121.9253165,regionvi_aklan,52.480202,98.94,5,7.514331,TRUE,isolation_forest_outlier,isolation_forest
2026-35675,121678,JP. Olo Memorial Elementary School,REGION VIII,LEYTE,MATALOM NORTH,5TH DISTRICT,10.2765203,124.7853617,regionviii_leyte,91.128247,97.98,15,6.049368,TRUE,isolation_forest_outlier,isolation_forest
2026-33828,120310,Agbobolo ES (Aya ES),NIR,NEGROS ORIENTAL,LA LIBERTAD,1ST DISTRICT,10.12621,123.119191,nir_negrosoriental,92.581226,100,4,3.362252,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-05614,110816,Pasig Elementary School,MIMAROPA,PALAWAN,BALABAC,2ND DISTRICT,7.8601084,117.0012027,mimaropa_palawan,244.052118,78.4,3,3.591493,TRUE,isolation_forest_outlier,isolation_forest
2026-01985,136297,Dannal Elementary School,CAR,MT. PROVINCE,PARACELIS,LONE DISTRICT,17.1205,121.5224,car_mt,57.899136,98.5,6,9.440026,TRUE,isolation_forest_outlier,isolation_forest
2026-05406,110610,Baclayan Mangyan School,MIMAROPA,ORIENTAL MINDORO,PUERTO GALERA,1ST DISTRICT,13.487438,120.94014,mimaropa_orientalmindoro,27.197561,29.51,18,4.877255,TRUE,isolation_forest_outlier,isolation_forest
2026-41904,137010,Kamunuan Elementary School,REGION XI,DAVAO DEL NORTE,KAPALONG EAST,1ST DISTRICT,7.9027081,125.5220012,regionxi_davaodelnorte,94.045731,97.73,4,5.018591,TRUE,isolation_forest_outlier,isolation_forest
2026-39772,127030,Payong Elementary School,REGION X,LANAO DEL NORTE,SULTAN NAGA DIMAPORO,2ND DISTRICT,7.71874,123.79838,regionx_lanaodelnorte,64.656496,93.73,6,3.57343,TRUE,isolation_forest_outlier,isolation_forest
2026-45792,306497,SAN VICENTE NATIONAL HIGH SCHOOL,REGION XII,NORTH COTABATO,MAKILALA WEST,2ND DISTRICT,6.897342,125.641479,regionxii_northcotabato,61.713942,75.26,0,4.565033,TRUE,isolation_forest_outlier,isolation_forest
2026-06291,110996,Tara Elementary School,MIMAROPA,PALAWAN,CORON INLAND,1ST DISTRICT,12.271724,120.3632213,mimaropa_palawan,372.635059,99.16,2,3.841777,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-33317,312806,Mandaue City School for the Arts,REGION VII,MANDAUE CITY,MANDAUE CITY WEST DISTRICT,6TH DISTRICT,10.384933,123.927807,regionvii_mandaue,6.905076,100,27,5.479529,TRUE,extreme_outlier,univariate_percentile+isolation_forest
