iern,school_id,school_name,region,division,district,leg_district,latitude,longitude,match_key,linear_distance_km,distance_outlier_percentile,nearby_school_count,isolation_forest_score,isolation_forest_outlier,coordinate_outlier_category,coordinate_outlier_method
2026-25692,500161,Iniwaran Integrated School,REGION V,MASBATE,SAN PASCUAL NORTH,1ST DISTRICT,13.1528716,122.8733493,regionv_masbate,119.461437,99.58,0,7.17697,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-25668,113906,San Rafael E/S,REGION V,MASBATE,SAN PASCUAL NORTH,1ST DISTRICT,13.0984243,122.9573332,regionv_masbate,108.83519,98.44,12,6.436112,TRUE,isolation_forest_outlier,isolation_forest
2026-34783,303334,Viga National High School,REGION VIII,BILIRAN,MARIPIPI,LONE DISTRICT,11.80210959,124.2994559,regionviii_biliran,27.662431,99.3,6,4.672753,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-30680,117055,Dian-ay Elementary School,NIR,ESCALANTE CITY,ESCALANTE II,1ST DISTRICT,10.76159,123.37164,nir_escalante,16.026708,100,2,4.741445,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-14067,137212,Enrique P. Rivera Jr. Elementary School,REGION III,NUEVA ECIJA,CABIAO,4TH DISTRICT,15.2015404,120.8830293,regioniii_nuevaecija,59.326792,99.08,4,4.634108,FALSE,extreme_outlier,univariate_percentile
2026-10075,102122,Maburac Elementary School,REGION I,"PANGASINAN II, BINALONAN",VILLASIS I,5TH DISTRICT,10.7831,121.485101,regioni_pangasinaniibinalonan,593.928413,99.82,0,135.556671,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-08761,101019,Udiao Elementary School,REGION I,LA UNION,ROSARIO,2ND DISTRICT,16.217752,120.502845,regioni_launion,48.462783,100,8,4.117749,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-12488,104199,Galintuja Elementary School,REGION II,NUEVA VIZCAYA,ALFONSO CASTAÃ‘EDA,LONE DISTRICT,15.81112576,121.323751,regionii_nuevavizcaya,76.788796,99.48,3,8.260387,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-11745,103539,Dialawyao Elementary School,REGION II,ISABELA,PALANAN,2ND DISTRICT,17.08696525,122.4380517,regionii_isabela,58.901301,84.05,12,7.465741,TRUE,isolation_forest_outlier,isolation_forest
2026-45906,503030,SISIMON INTEGRATED SCHOOL,CARAGA,AGUSAN DEL SUR,VERUELA II,1ST DISTRICT,7.941576,125.832753,caraga_agusandelsur,68.700939,99.81,2,2.91046,FALSE,extreme_outlier,univariate_percentile
2026-33186,303145,Inayawan National High School,REGION VII,CEBU CITY,SOUTH DISTRICT 7,2ND DISTRICT,10.2,123.8,regionvii_cebu,18.866213,99.07,0,7.342529,TRUE,extreme_outlier,univariate_percentile+isolation_forest
