iern,school_id,linear_distance_km
2026-08536,321004,22.204763
2026-10924,300436,105.629803
2026-21452,125135,5.561126
2026-25858,175020,18.805463
2026-36778,192513,46.879741
2026-09055,101311,3.763997
2026-27439,302343,15.941973
2026-09681,101806,12.227644
2026-18110,108384,3.769592
2026-05902,111181,127.226905
2026-39151,126444,72.095025
2026-12775,104391,7.972141
2026-06768,111566,9.935138
2026-07362,136765,1.536153
2026-41652,137015,32.631914
2026-13319,104615,12.260652
2026-25860,302218,22.655316
2026-31343,118348,64.92375
2026-39651,126922,8.55891
2026-05130,110417,119.17141
2026-31772,118729,74.849414
2026-06597,111438,28.816913
2026-29325,116645,5.977005
2026-11678,300498,74.736832
2026-19245,109399,4.780975
2026-21416,125109,31.080458
2026-36197,122091,29.305343
2026-24778,113094,27.486677
2026-08181,100514,15.599258
2026-14406,105532,12.901682
2026-08527,100834,27.919698
2026-42381,501082,75.048045
2026-04803,110194,93.294942
2026-00632,134996,22.046867
2026-08753,101010,45.935723
2026-22909,111604,22.347239
2026-05283,110520,21.359055
2026-07343,136758,5.485313
2026-16665,306405,2.072292
2026-06518,111378,2.954086
2026-01181,135551,30.743573
2026-11213,102445,78.24565
2026-18478,108712,81.900441
2026-40524,127758,29.304929
2026-12755,104317,30.555701
2026-03321,304807,19.310305
2026-10034,102092,26.234759
2026-17932,108265,18.55147
2026-30195,302704,5.402371
2026-25921,114049,37.172743
2026-23842,112383,27.197722
2026-39707,126974,8.903703
2026-13786,105025,8.152869
2026-05306,110534,12.830426
2026-01007,135407,47.318853
2026-05692,110898,83.406953
2026-38031,123784,39.915594
2026-05255,110496,25.009995
2026-25476,309949,22.016097
2026-32785,119625,31.933689
2026-01675,135965,30.774401
2026-08975,300205,38.70072
2026-11915,103680,48.540338
2026-22360,125874,10.605909
2026-08858,101118,33.974377
2026-25681,174522,105.898747
2026-16372,307611,2.801633
2026-18949,109105,33.397293
2026-16090,106999,48.067701
2026-42036,204510,69.764879
2026-18357,108616,64.851647
2026-07922,100273,9.67291
2026-20164,107981,5.331777
2026-20265,107958,9.686324
2026-15493,502820,17.840755
2026-09749,300287,8.181286
2026-03325,317706,16.454872
2026-16438,106690,3.445495
2026-03971,132793,113.504096
2026-42498,501961,93.948397
2026-38217,501371,29.169745
2026-08163,100500,16.210155
2026-25103,113352,25.505387
2026-13772,300726,9.79902
2026-16714,106088,6.929598
2026-29378,116693,83.528084
2026-45764,131222,6.163323
2026-31964,118873,84.172808
2026-42361,129167,75.218383
2026-30984,118055,25.851259
2026-26419,500168,4.710496
2026-18712,108908,42.752997
2026-40608,315301,13.643995
2026-00594,135162,28.315282
2026-13590,158533,7.282817
2026-30286,117523,17.545502
2026-00651,135064,21.707509
2026-09588,101732,20.703921
2026-09179,300179,39.275782
2026-04209,132503,12.670053
2026-44167,130371,15.569209
2026-44260,303659,55.926626
2026-12812,103189,16.806471
2026-13852,105083,42.116374
2026-08681,300120,25.444825
2026-26415,114456,8.230303
2026-11462,103127,22.951219
2026-05574,110764,201.79619
2026-29688,302613,42.072318
2026-05061,309019,66.703404
2026-11690,103491,26.798615
2026-20546,124415,111.916955
2026-31228,118254,44.86321
2026-12410,104167,9.648885
2026-25738,113528,50.73719
2026-11751,103547,45.011584
2026-42116,128861,12.355802
2026-16598,104865,1.222703
2026-29140,180033,70.15093
2026-02957,131753,54.434858
2026-02475,317317,18.146572
2026-34003,120509,45.713208
2026-22932,111632,18.45139
2026-08655,100939,16.664054
2026-34190,303252,46.406763
2026-16318,107154,1.951439
2026-36782,122723,17.056944
2026-43015,129697,
2026-33564,119105,5.279232
2026-21557,125217,35.671967
2026-14237,105388,16.559624
2026-45347,131102,14.641554
2026-21568,125228,36.649723
2026-30926,118008,20.669999
2026-28983,116378,36.994207
2026-00836,135288,25.692321
2026-11216,102452,73.885247
2026-08359,100667,57.565161
2026-41014,500801,15.309843
2026-43879,130072,15.27871
2026-04074,322506,4.871737
2026-15564,106504,16.114497
2026-01711,135996,30.72647
2026-06376,111265,36.380536
2026-37100,123270,33.464282
2026-03628,132643,24.872254
2026-08032,300037,39.205343
2026-03518,132472,20.710124
2026-33294,120004,2.928564
2026-25120,113365,28.75233
2026-11612,103340,8.862783
