region,division,position_description,category,plantilla_position,personnel_count
Region IVA - CALABARZON,Division of Calamba City,Registrar I,Related-Teaching Personnel,Filled,7
National Capital Region (NCR),Division of Caloocan,Guidance Counselor II,Related-Teaching Personnel,Unfilled,7
Region III - Central Luzon,Division of Nueva Ecija,Guidance Coordinator III,Related-Teaching Personnel,Unfilled,7
Cordillera Administrative Region (CAR),Division of Benguet,Guidance Counselor III,Related-Teaching Personnel,Filled,7
Region III - Central Luzon,Division of Bulacan,Education Program Specialist II,Related-Teaching Personnel,Filled,7
Region III - Central Luzon,Division of Bulacan,Guidance Counselor II,Related-Teaching Personnel,Filled,7
Region V - Bicol,Division of Camarines Norte,Registrar I,Related-Teaching Personnel,Filled,7
Region IVA - CALABARZON,Division of Quezon,School Librarian I,Related-Teaching Personnel,Filled,7
Region IVB - MIMAROPA,Division of Occidental Mindoro,Registrar I,Related-Teaching Personnel,Filled,7
Region IVB - MIMAROPA,Division of Romblon,Registrar I,Related-Teaching Personnel,Filled,7
Region IVB - MIMAROPA,Division of Romblon,Guidance Counselor I,Related-Teaching Personnel,Filled,7
Region VIII - Eastern Visayas,Division of Samar,Registrar I,Related-Teaching Personnel,Filled,7
Region XI - Davao,Division of Davao del Sur,Registrar I,Related-Teaching Personnel,Filled,7
National Capital Region (NCR),Division of Pasay City,Guidance Counselor III,Related-Teaching Personnel,Unfilled,7
Region V - Bicol,Division of Legazpi City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,7
Region IVA - CALABARZON,Division of Biñan City,Registrar I,Related-Teaching Personnel,Filled,7
Region XI - Davao,Division of Davao del Sur,Guidance Counselor I,Related-Teaching Personnel,Unfilled,7
Region IVB - MIMAROPA,Division of Occidental Mindoro,Guidance Counselor I,Related-Teaching Personnel,Unfilled,7
Region IVA - CALABARZON,Division of Rizal,Education Program Specialist II,Related-Teaching Personnel,Filled,7
Region III - Central Luzon,Division of Tarlac,Guidance Counselor II,Related-Teaching Personnel,Filled,7
Region IVA - CALABARZON,Division of Batangas,Guidance Counselor I,Related-Teaching Personnel,Filled,7
Region X - Northern Mindanao,Division of Cagayan de Oro City,Registrar I,Related-Teaching Personnel,Filled,7
Region VIII - Eastern Visayas,Division of Catbalogan City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,7
Negros Island Region (NIR),Division of La Carlota City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,7
Region XII - SOCCSKSARGEN,Division of Kidapawan City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,7
Negros Island Region (NIR),Division of Bacolod City,Registrar I,Related-Teaching Personnel,Filled,7
Region IVA - CALABARZON,Division of Batangas,Education Program Specialist II,Related-Teaching Personnel,Filled,7
Region V - Bicol,Division of Catanduanes,Guidance Counselor III,Related-Teaching Personnel,Unfilled,7
Region VIII - Eastern Visayas,Division of Eastern Samar,Guidance Counselor III,Related-Teaching Personnel,Unfilled,7
Region X - Northern Mindanao,Division of Misamis Oriental,Guidance Counselor I,Related-Teaching Personnel,Filled,7
Region IVB - MIMAROPA,Division of Palawan,Guidance Counselor I,Related-Teaching Personnel,Unfilled,7
Region VIII - Eastern Visayas,Division of Eastern Samar,School Librarian III,Related-Teaching Personnel,Filled,7
Region II - Cagayan Valley,Division of Quirino,Guidance Counselor II,Related-Teaching Personnel,Unfilled,7
Region I - Ilocos,Division of Ilocos Sur,Public Schools District Supervisor,Related-Teaching Personnel,Unfilled,7
Region IVB - MIMAROPA,Division of Oriental Mindoro,Guidance Counselor I,Related-Teaching Personnel,Filled,7
Negros Island Region (NIR),Division of Bayawan City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,7
Negros Island Region (NIR),Division of Sagay City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,7
Region III - Central Luzon,Division of Bataan,Guidance Counselor III,Related-Teaching Personnel,Filled,7
Region VII - Central Visayas,Division of Cebu City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,7
Region IX - Zamboanga Peninsula,Division of Pagadian City,Guidance Counselor II,Related-Teaching Personnel,Filled,7
Region I - Ilocos,Division of Pangasinan I,Education Program Specialist II,Related-Teaching Personnel,Filled,7
National Capital Region (NCR),Division of Quezon City,School Librarian I,Related-Teaching Personnel,Filled,7
Region VII - Central Visayas,Division of Lapu-lapu City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,7
Region V - Bicol,Division of Ligao City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,7
Region VII - Central Visayas,Division of Lapu-lapu City,Registrar I,Related-Teaching Personnel,Filled,7
Region IVA - CALABARZON,Division of Batangas City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,7
Negros Island Region (NIR),Division of Escalante City,Education Program Specialist II,Related-Teaching Personnel,Filled,6
Region III - Central Luzon,Division of Bataan,Education Program Specialist II,Related-Teaching Personnel,Filled,6
Region III - Central Luzon,Division of Cabanatuan City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,6
Region XIII - CARAGA,Division of Dinagat Island,Guidance Counselor II,Related-Teaching Personnel,Unfilled,6
Region IVB - MIMAROPA,Division of Occidental Mindoro,Education Program Specialist II,Related-Teaching Personnel,Filled,6
Region XIII - CARAGA,Central Office/Staff Bureaus/ROs,Chief Education Supervisor,Related-Teaching Personnel,Filled,6
Cordillera Administrative Region (CAR),Central Office/Staff Bureaus/ROs,Chief Education Supervisor,Related-Teaching Personnel,Filled,6
Region XIII - CARAGA,Division of Surigao del Sur,Guidance Counselor I,Related-Teaching Personnel,Unfilled,6
Region XIII - CARAGA,Division of Surigao del Sur,Registrar I,Related-Teaching Personnel,Filled,6
Region II - Cagayan Valley,Division of Nueva Vizcaya,Guidance Counselor III,Related-Teaching Personnel,Filled,6
Negros Island Region (NIR),Division of Guihulngan City,Education Program Specialist II,Related-Teaching Personnel,Filled,6
Region XII - SOCCSKSARGEN,Division of South Cotabato,Guidance Counselor I,Related-Teaching Personnel,Filled,6
Region XI - Davao,Central Office/Staff Bureaus/ROs,Chief Education Supervisor,Related-Teaching Personnel,Filled,6
Negros Island Region (NIR),Division of Sagay City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,6
Region IVA - CALABARZON,Central Office/Staff Bureaus/ROs,Chief Education Supervisor,Related-Teaching Personnel,Filled,6
Region VII - Central Visayas,Division of Bohol,Guidance Counselor II,Related-Teaching Personnel,Filled,6
Negros Island Region (NIR),Division of Dumaguete City,Education Program Specialist II,Related-Teaching Personnel,Filled,6
Negros Island Region (NIR),Central Office/Staff Bureaus/ROs,Chief Education Supervisor,Related-Teaching Personnel,Unfilled,6
Negros Island Region (NIR),Division of Negros Oriental,Guidance Counselor I,Related-Teaching Personnel,Unfilled,6
National Capital Region (NCR),Division of Mandaluyong,Education Program Specialist II,Related-Teaching Personnel,Filled,6
Region II - Cagayan Valley,Division of Cagayan,Guidance Counselor II,Related-Teaching Personnel,Filled,6
National Capital Region (NCR),Division of Caloocan,Guidance Counselor I,Related-Teaching Personnel,Unfilled,6
Region VII - Central Visayas,Division of Bohol,Guidance Counselor I,Related-Teaching Personnel,Unfilled,6
Region VI - Western Visayas,Division of Iloilo City,Registrar I,Related-Teaching Personnel,Filled,6
Negros Island Region (NIR),Division of Cadiz City,Guidance Counselor III,Related-Teaching Personnel,Filled,6
Region VII - Central Visayas,Division of Bohol,Guidance Counselor I,Related-Teaching Personnel,Filled,6
Region III - Central Luzon,Division of Zambales,Registrar I,Related-Teaching Personnel,Filled,6
Region IVB - MIMAROPA,Division of Romblon,Guidance Counselor I,Related-Teaching Personnel,Unfilled,6
Region II - Cagayan Valley,Division of Cauayan City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,6
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Guidance Counselor I,Related-Teaching Personnel,Filled,6
Region X - Northern Mindanao,Central Office/Staff Bureaus/ROs,Chief Education Supervisor,Related-Teaching Personnel,Filled,6
Region IVA - CALABARZON,Division of Dasmariñas City,Registrar I,Related-Teaching Personnel,Filled,6
Region II - Cagayan Valley,Division of Isabela,School Librarian I,Related-Teaching Personnel,Filled,6
Region XI - Davao,Division of Panabo City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,6
Region VI - Western Visayas,Division of Antique,Guidance Counselor III,Related-Teaching Personnel,Filled,6
National Capital Region (NCR),Division of Valenzuela,Guidance Counselor II,Related-Teaching Personnel,Unfilled,6
Region IVA - CALABARZON,Division of Cavite,School Librarian I,Related-Teaching Personnel,Filled,6
Region III - Central Luzon,Division of Nueva Ecija,Guidance Counselor III,Related-Teaching Personnel,Filled,6
Region II - Cagayan Valley,Division of Isabela,Guidance Counselor III,Related-Teaching Personnel,Unfilled,6
Region III - Central Luzon,Central Office/Staff Bureaus/ROs,Chief Education Supervisor,Related-Teaching Personnel,Filled,6
Region X - Northern Mindanao,Division of Valencia City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,6
Region I - Ilocos,Central Office/Staff Bureaus/ROs,Chief Education Supervisor,Related-Teaching Personnel,Filled,6
Region VIII - Eastern Visayas,Central Office/Staff Bureaus/ROs,Chief Education Supervisor,Related-Teaching Personnel,Filled,6
Region IVA - CALABARZON,Division of Laguna,Guidance Counselor I,Related-Teaching Personnel,Unfilled,6
Cordillera Administrative Region (CAR),Division of Baguio City,Guidance Counselor III,Related-Teaching Personnel,Filled,6
Region I - Ilocos,Division of Laoag City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,6
Region II - Cagayan Valley,Central Office/Staff Bureaus/ROs,Chief Education Supervisor,Related-Teaching Personnel,Filled,6
Region XII - SOCCSKSARGEN,Division of Sultan Kudarat,Guidance Counselor I,Related-Teaching Personnel,Unfilled,6
Region IVA - CALABARZON,Division of Dasmariñas City,Guidance Counselor III,Related-Teaching Personnel,Filled,6
National Capital Region (NCR),Division of Marikina,Registrar I,Related-Teaching Personnel,Filled,6
Region II - Cagayan Valley,Division of Isabela,Guidance Counselor I,Related-Teaching Personnel,Filled,6
Region IVB - MIMAROPA,Central Office/Staff Bureaus/ROs,Chief Education Supervisor,Related-Teaching Personnel,Filled,6
Region VI - Western Visayas,Central Office/Staff Bureaus/ROs,Chief Education Supervisor,Related-Teaching Personnel,Filled,6
Region IX - Zamboanga Peninsula,Central Office/Staff Bureaus/ROs,Chief Education Supervisor,Related-Teaching Personnel,Filled,6
Region V - Bicol,Central Office/Staff Bureaus/ROs,Chief Education Supervisor,Related-Teaching Personnel,Filled,6
National Capital Region (NCR),Division of Navotas City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,6
Region IVA - CALABARZON,Division of Laguna,Guidance Coordinator III,Related-Teaching Personnel,Filled,6
Negros Island Region (NIR),Division of Cadiz City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,6
Region II - Cagayan Valley,Division of Ilagan City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,6
Region IX - Zamboanga Peninsula,Division of Isabela City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,6
Negros Island Region (NIR),Division of Canlaon City,Education Program Specialist II,Related-Teaching Personnel,Filled,6
Region I - Ilocos,Division of Ilocos Norte,Guidance Counselor III,Related-Teaching Personnel,Unfilled,6
Negros Island Region (NIR),Division of Negros Oriental,Senior Education Program Specialist,Related-Teaching Personnel,Filled,6
Negros Island Region (NIR),Division of Victorias City,Education Program Specialist II,Related-Teaching Personnel,Filled,6
Region III - Central Luzon,Division of Malolos City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,6
Region XIII - CARAGA,Division of Siargao,Guidance Counselor II,Related-Teaching Personnel,Unfilled,6
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Guidance Counselor I,Related-Teaching Personnel,Unfilled,6
Region X - Northern Mindanao,Division of Gingoog City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,6
Region III - Central Luzon,Division of Balanga City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,6
Region X - Northern Mindanao,Division of Misamis Oriental,Guidance Counselor I,Related-Teaching Personnel,Unfilled,6
National Capital Region (NCR),Division of Taguig and Pateros,Guidance Counselor I,Related-Teaching Personnel,Unfilled,6
Negros Island Region (NIR),Division of Silay City,Education Program Specialist II,Related-Teaching Personnel,Filled,6
National Capital Region (NCR),Division of Mandaluyong,Registrar I,Related-Teaching Personnel,Filled,6
Negros Island Region (NIR),Division of Siquijor,Senior Education Program Specialist,Related-Teaching Personnel,Filled,6
National Capital Region (NCR),Central Office/Staff Bureaus/ROs,Chief Education Supervisor,Related-Teaching Personnel,Filled,6
Region IVA - CALABARZON,Division of Lucena City,Guidance Counselor II,Related-Teaching Personnel,Filled,6
Region X - Northern Mindanao,Division of Lanao del Norte,Guidance Counselor I,Related-Teaching Personnel,Unfilled,6
Region VIII - Eastern Visayas,Division of Southern Leyte,Registrar I,Related-Teaching Personnel,Filled,6
Negros Island Region (NIR),Division of Bacolod City,Guidance Counselor II,Related-Teaching Personnel,Filled,6
Region XIII - CARAGA,Division of Agusan del Norte,Guidance Counselor I,Related-Teaching Personnel,Unfilled,6
Negros Island Region (NIR),Division of Tanjay City,Education Program Specialist II,Related-Teaching Personnel,Filled,6
Region XI - Davao,Division of Davao de Oro,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region XIII - CARAGA,Division of Agusan del Norte,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region III - Central Luzon,Division of San Fernando City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region XIII - CARAGA,Division of Agusan del Sur,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region XIII - CARAGA,Division of Agusan del Sur,Guidance Counselor I,Related-Teaching Personnel,Filled,5
Region IVA - CALABARZON,Division of Biñan City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region III - Central Luzon,Division of San Fernando City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,5
Region XIII - CARAGA,Division of Bislig City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region IVA - CALABARZON,Division of Batangas City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region III - Central Luzon,Division of San Jose City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,5
Region III - Central Luzon,Division of San Jose del Monte City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region XIII - CARAGA,Division of Dinagat Island,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region III - Central Luzon,Division of San Jose del Monte City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,5
Region XIII - CARAGA,Division of Siargao,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region XIII - CARAGA,Division of Surigao City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Negros Island Region (NIR),Division of Kabankalan City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,5
Region XIII - CARAGA,Division of Surigao City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,5
Region XIII - CARAGA,Division of Surigao del Norte,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region IVA - CALABARZON,Division of Antipolo City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,5
Region III - Central Luzon,Division of Tarlac,Guidance Counselor I,Related-Teaching Personnel,Unfilled,5
Region IVA - CALABARZON,Division of Antipolo City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region XIII - CARAGA,Division of Surigao del Sur,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VI - Western Visayas,Division of Capiz,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Negros Island Region (NIR),Division of Guihulngan City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,5
Region III - Central Luzon,Division of Zambales,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VI - Western Visayas,Division of Capiz,Guidance Counselor III,Related-Teaching Personnel,Unfilled,5
National Capital Region (NCR),Division of Pasig City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VI - Western Visayas,Division of Guimaras,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Guidance Counselor I,Related-Teaching Personnel,Filled,5
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region I - Ilocos,Division of Urdaneta City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region V - Bicol,Division of Ligao City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region I - Ilocos,Division of Urdaneta City,Guidance Counselor II,Related-Teaching Personnel,Filled,5
Cordillera Administrative Region (CAR),Division of Tabuk City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VI - Western Visayas,Division of Iloilo City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region V - Bicol,Division of Camarines Sur,School Librarian I,Related-Teaching Personnel,Filled,5
Region VI - Western Visayas,Division of Passi City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,5
Region VI - Western Visayas,Division of Roxas City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VII - Central Visayas,Central Office/Staff Bureaus/ROs,Chief Education Supervisor,Related-Teaching Personnel,Filled,5
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region II - Cagayan Valley,Division of Cagayan,Guidance Counselor I,Related-Teaching Personnel,Unfilled,5
Region VII - Central Visayas,Division of Cebu City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region IX - Zamboanga Peninsula,Division of Pagadian City,Guidance Counselor III,Related-Teaching Personnel,Filled,5
Region IX - Zamboanga Peninsula,Division of Pagadian City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VII - Central Visayas,Division of Cebu Province,Guidance Coordinator III,Related-Teaching Personnel,Unfilled,5
Region I - Ilocos,Division of Ilocos Sur,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VII - Central Visayas,Division of Danao City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region IX - Zamboanga Peninsula,Division of Isabela City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VII - Central Visayas,Division of Lapu-lapu City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region V - Bicol,Division of Masbate City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VII - Central Visayas,Division of Mandaue City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region I - Ilocos,Division of Ilocos Norte,School Librarian III,Related-Teaching Personnel,Filled,5
Region V - Bicol,Division of Masbate City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,5
Region IX - Zamboanga Peninsula,Division of Dipolog City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,5
National Capital Region (NCR),Division of Navotas City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region IX - Zamboanga Peninsula,Division of Dipolog City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VII - Central Visayas,Division of Tagbilaran City,Guidance Counselor II,Related-Teaching Personnel,Filled,5
Region I - Ilocos,Division of Ilocos Norte,Guidance Counselor I,Related-Teaching Personnel,Unfilled,5
Region I - Ilocos,Division of Ilocos Norte,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VII - Central Visayas,Division of Talisay City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VII - Central Visayas,Division of Talisay City,Guidance Counselor II,Related-Teaching Personnel,Filled,5
Region VII - Central Visayas,Division of Toledo City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region V - Bicol,Division of Naga City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VIII - Eastern Visayas,Division of Biliran,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VIII - Eastern Visayas,Division of Biliran,Guidance Counselor I,Related-Teaching Personnel,Unfilled,5
Region II - Cagayan Valley,Division of Isabela,School Librarian III,Related-Teaching Personnel,Filled,5
National Capital Region (NCR),Division of Caloocan,Registrar I,Related-Teaching Personnel,Filled,5
Region I - Ilocos,Division of Dagupan City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VIII - Eastern Visayas,Division of Borongan City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,5
Region II - Cagayan Valley,Division of Nueva Vizcaya,Guidance Counselor III,Related-Teaching Personnel,Unfilled,5
Region VIII - Eastern Visayas,Division of Calbayog City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region IVB - MIMAROPA,Division of Puerto Princesa City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VIII - Eastern Visayas,Division of Catbalogan City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
National Capital Region (NCR),Division of Muntinlupa,Education Program Specialist II,Related-Teaching Personnel,Filled,5
National Capital Region (NCR),Division of Pasay City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VIII - Eastern Visayas,Division of Eastern Samar,Education Program Specialist II,Related-Teaching Personnel,Filled,5
National Capital Region (NCR),Division of Taguig and Pateros,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Cordillera Administrative Region (CAR),Division of Ifugao,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region IVB - MIMAROPA,Division of Palawan,Guidance Counselor I,Related-Teaching Personnel,Filled,5
Region V - Bicol,Division of Camarines Norte,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region V - Bicol,Division of Sorsogon,Education Program Specialist II,Related-Teaching Personnel,Filled,5
National Capital Region (NCR),Division of Las Piñas,Education Program Specialist II,Related-Teaching Personnel,Filled,5
National Capital Region (NCR),Division of Taguig and Pateros,Guidance Counselor III,Related-Teaching Personnel,Unfilled,5
Region VIII - Eastern Visayas,Division of Northern Samar,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VIII - Eastern Visayas,Division of Northern Samar,School Librarian III,Related-Teaching Personnel,Filled,5
Cordillera Administrative Region (CAR),Division of Tabuk City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,5
Region IVB - MIMAROPA,Division of Oriental Mindoro,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VIII - Eastern Visayas,Division of Ormoc City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VIII - Eastern Visayas,Division of Ormoc City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,5
Region VIII - Eastern Visayas,Division of Samar,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VIII - Eastern Visayas,Division of Southern Leyte,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region VIII - Eastern Visayas,Division of Tacloban City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Cordillera Administrative Region (CAR),Division of Ifugao,Guidance Counselor II,Related-Teaching Personnel,Unfilled,5
Region I - Ilocos,Division of Alaminos City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,5
Region IVB - MIMAROPA,Division of Marinduque,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region X - Northern Mindanao,Division of Cagayan de Oro City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region V - Bicol,Division of Sorsogon,School Librarian I,Related-Teaching Personnel,Filled,5
National Capital Region (NCR),Division of Marikina,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region IVB - MIMAROPA,Division of Calapan City,Guidance Counselor II,Related-Teaching Personnel,Filled,5
Region IVB - MIMAROPA,Division of Calapan City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region X - Northern Mindanao,Division of Camiguin,Guidance Counselor II,Related-Teaching Personnel,Unfilled,5
Region X - Northern Mindanao,Division of Camiguin,Public Schools District Supervisor,Related-Teaching Personnel,Unfilled,5
Cordillera Administrative Region (CAR),Division of Mt. Province,Guidance Counselor II,Related-Teaching Personnel,Unfilled,5
Region III - Central Luzon,Division of Angeles City,Registrar I,Related-Teaching Personnel,Filled,5
Region V - Bicol,Division of Sorsogon City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Negros Island Region (NIR),Division of Bacolod City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region III - Central Luzon,Division of Aurora,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Negros Island Region (NIR),Division of Tanjay City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,5
Region X - Northern Mindanao,Division of Lanao del Norte,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region IVA - CALABARZON,Division of Sto. Tomas City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region X - Northern Mindanao,Division of Malaybalay City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region V - Bicol,Division of Catanduanes,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Cordillera Administrative Region (CAR),Division of Baguio City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,5
Region V - Bicol,Division of Legazpi City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region IVA - CALABARZON,Division of San Pedro City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region III - Central Luzon,Division of Baliwag City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region X - Northern Mindanao,Division of Misamis Oriental,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region X - Northern Mindanao,Division of Misamis Oriental,School Librarian I,Related-Teaching Personnel,Filled,5
Region IVA - CALABARZON,Division of San Pablo City,Guidance Counselor III,Related-Teaching Personnel,Filled,5
Region IVA - CALABARZON,Division of San Pablo City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
National Capital Region (NCR),Division of Parañaque,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Negros Island Region (NIR),Division of Bago City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region X - Northern Mindanao,Division of Ozamiz City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region V - Bicol,Division of Tabaco City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region X - Northern Mindanao,Division of Ozamiz City,Guidance Counselor II,Related-Teaching Personnel,Filled,5
Region III - Central Luzon,Division of Bataan,Senior Education Program Specialist,Related-Teaching Personnel,Filled,5
Region X - Northern Mindanao,Division of Valencia City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
National Capital Region (NCR),Division of Parañaque,Registrar I,Related-Teaching Personnel,Filled,5
Region XI - Davao,Division of Davao de Oro,Guidance Counselor I,Related-Teaching Personnel,Unfilled,5
Region XI - Davao,Division of Davao de Oro,Guidance Counselor III,Related-Teaching Personnel,Unfilled,5
Region IVA - CALABARZON,Division of Lucena City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region XI - Davao,Division of Davao del Norte,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region III - Central Luzon,Division of Cabanatuan City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region IVA - CALABARZON,Division of Lipa City,Registrar I,Related-Teaching Personnel,Filled,5
Region XI - Davao,Division of Davao del Norte,Registrar I,Related-Teaching Personnel,Filled,5
Region III - Central Luzon,Division of Cabanatuan City,Registrar I,Related-Teaching Personnel,Filled,5
National Capital Region (NCR),Division of Malabon City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region XI - Davao,Division of Davao del Sur,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region IVA - CALABARZON,Division of Lipa City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region IVA - CALABARZON,Division of Laguna,Guidance Counselor III,Related-Teaching Personnel,Filled,5
Region XI - Davao,Division of Davao Oriental,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Region III - Central Luzon,Division of Mabalacat City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,5
Region III - Central Luzon,Division of Malolos City,Education Program Specialist II,Related-Teaching Personnel,Filled,5
Negros Island Region (NIR),Division of San Carlos City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,5
Region VI - Western Visayas,Central Office/Staff Bureaus/ROs,Education Program Specialist II,Related-Teaching Personnel,Filled,5
National Capital Region (NCR),Division of Pasay City,Registrar I,Related-Teaching Personnel,Filled,5
