region,division,position,classification,status,number
Region III - Central Luzon,Division of Tarlac City,School Principal III,School Head Positions,Filled,19
Region III - Central Luzon,Division of Tarlac City,School Principal IV,School Head Positions,Filled,26
Region III - Central Luzon,Division of Tarlac City,Assistant School Principal I,School Head Positions,Filled,0
Region III - Central Luzon,Division of Tarlac City,Assistant School Principal II,School Head Positions,Filled,3
Region III - Central Luzon,Division of Tarlac City,Assistant School Principal III,School Head Positions,Filled,0
Region III - Central Luzon,Division of Tarlac City,Special School Principal I,School Head Positions,Filled,0
Region III - Central Luzon,Division of Tarlac City,Special School Principal II,School Head Positions,Filled,0
Region III - Central Luzon,Division of Tarlac City,Assistant Special School Principal I,School Head Positions,Filled,0
Region III - Central Luzon,Division of Tarlac City,Head Teacher I,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac City,Head Teacher II,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac City,Head Teacher III,School Head Positions,Unfilled,2
Region III - Central Luzon,Division of Tarlac City,Head Teacher IV,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac City,Head Teacher V,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac City,Head Teacher VI,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac City,School Principal I,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac City,School Principal II,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac City,School Principal III,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac City,School Principal IV,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac City,Assistant School Principal I,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac City,Assistant School Principal II,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac City,Assistant School Principal III,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac City,Special School Principal I,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac City,Special School Principal II,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac,Head Teacher I,School Head Positions,Filled,56
Region III - Central Luzon,Division of Tarlac,Head Teacher II,School Head Positions,Filled,6
Region III - Central Luzon,Division of Tarlac,Head Teacher III,School Head Positions,Filled,207
Region III - Central Luzon,Division of Tarlac,Head Teacher IV,School Head Positions,Filled,0
Region III - Central Luzon,Division of Tarlac,Head Teacher V,School Head Positions,Filled,0
Region III - Central Luzon,Division of Tarlac,Head Teacher VI,School Head Positions,Filled,55
Region III - Central Luzon,Division of Tarlac,School Principal I,School Head Positions,Filled,129
Region III - Central Luzon,Division of Tarlac,School Principal II,School Head Positions,Filled,57
Region III - Central Luzon,Division of Tarlac,School Principal III,School Head Positions,Filled,104
Region III - Central Luzon,Division of Tarlac,School Principal IV,School Head Positions,Filled,50
Region III - Central Luzon,Division of Tarlac,Assistant School Principal I,School Head Positions,Filled,0
Region III - Central Luzon,Division of Tarlac,Assistant School Principal II,School Head Positions,Filled,2
Region III - Central Luzon,Division of Tarlac,Assistant School Principal III,School Head Positions,Filled,0
Region III - Central Luzon,Division of Tarlac,Special School Principal I,School Head Positions,Filled,0
Region III - Central Luzon,Division of Tarlac,Special School Principal II,School Head Positions,Filled,0
Region III - Central Luzon,Division of Tarlac,Assistant Special School Principal I,School Head Positions,Filled,0
Region III - Central Luzon,Division of Tarlac,Head Teacher I,School Head Positions,Unfilled,12
Region III - Central Luzon,Division of Tarlac,Head Teacher II,School Head Positions,Unfilled,1
Region III - Central Luzon,Division of Tarlac,Head Teacher III,School Head Positions,Unfilled,11
Region III - Central Luzon,Division of Tarlac,Head Teacher IV,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac,Head Teacher V,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac,Head Teacher VI,School Head Positions,Unfilled,1
Region III - Central Luzon,Division of Tarlac,School Principal I,School Head Positions,Unfilled,9
Region III - Central Luzon,Division of Tarlac,School Principal II,School Head Positions,Unfilled,5
Region III - Central Luzon,Division of Tarlac,School Principal III,School Head Positions,Unfilled,5
Region III - Central Luzon,Division of Tarlac,School Principal IV,School Head Positions,Unfilled,1
Region III - Central Luzon,Division of Tarlac,Assistant School Principal I,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac,Assistant School Principal II,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac,Assistant School Principal III,School Head Positions,Unfilled,2
Region III - Central Luzon,Division of Tarlac,Special School Principal I,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac,Special School Principal II,School Head Positions,Unfilled,0
Region III - Central Luzon,Division of Tarlac,Assistant Special School Principal I,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Tanjay City,Head Teacher I,School Head Positions,Filled,11
Negros Island Region (NIR),Division of Tanjay City,Head Teacher II,School Head Positions,Filled,5
Negros Island Region (NIR),Division of Tanjay City,Head Teacher III,School Head Positions,Filled,3
Negros Island Region (NIR),Division of Tanjay City,Head Teacher IV,School Head Positions,Filled,1
Negros Island Region (NIR),Division of Tanjay City,Head Teacher V,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Tanjay City,Head Teacher VI,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Tanjay City,School Principal I,School Head Positions,Filled,42
Negros Island Region (NIR),Division of Tanjay City,School Principal II,School Head Positions,Filled,4
Negros Island Region (NIR),Division of Tanjay City,School Principal III,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Tanjay City,School Principal IV,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Tanjay City,Assistant School Principal I,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Tanjay City,Assistant School Principal II,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Tanjay City,Assistant School Principal III,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Tanjay City,Special School Principal I,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Tanjay City,Special School Principal II,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Tanjay City,Assistant Special School Principal I,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Tanjay City,Head Teacher I,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Tanjay City,Head Teacher II,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Tanjay City,Head Teacher III,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Tanjay City,Head Teacher IV,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Tanjay City,Head Teacher V,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Tanjay City,Head Teacher VI,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Tanjay City,School Principal I,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Tanjay City,School Principal II,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Tanjay City,School Principal III,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Tanjay City,School Principal IV,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Tanjay City,Assistant School Principal I,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Tanjay City,Assistant School Principal II,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Tanjay City,Assistant School Principal III,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Tanjay City,Special School Principal I,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Tanjay City,Special School Principal II,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Tanjay City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Tangub City,Head Teacher I,School Head Positions,Filled,9
Region X - Northern Mindanao,Division of Tangub City,Head Teacher II,School Head Positions,Filled,8
Region X - Northern Mindanao,Division of Tangub City,Head Teacher III,School Head Positions,Filled,24
Region X - Northern Mindanao,Division of Tangub City,Head Teacher IV,School Head Positions,Filled,0
Region X - Northern Mindanao,Division of Tangub City,Head Teacher V,School Head Positions,Filled,0
Region X - Northern Mindanao,Division of Tangub City,Head Teacher VI,School Head Positions,Filled,0
Region X - Northern Mindanao,Division of Tangub City,School Principal I,School Head Positions,Filled,22
Region X - Northern Mindanao,Division of Tangub City,School Principal II,School Head Positions,Filled,2
Region X - Northern Mindanao,Division of Tangub City,School Principal III,School Head Positions,Filled,0
Region X - Northern Mindanao,Division of Tangub City,School Principal IV,School Head Positions,Filled,1
Region X - Northern Mindanao,Division of Tangub City,Assistant School Principal I,School Head Positions,Filled,0
Region X - Northern Mindanao,Division of Tangub City,Assistant School Principal II,School Head Positions,Filled,2
Region X - Northern Mindanao,Division of Tangub City,Assistant School Principal III,School Head Positions,Filled,0
Region X - Northern Mindanao,Division of Tangub City,Special School Principal I,School Head Positions,Filled,0
Region X - Northern Mindanao,Division of Tangub City,Special School Principal II,School Head Positions,Filled,0
Region X - Northern Mindanao,Division of Tangub City,Assistant Special School Principal I,School Head Positions,Filled,0
Region X - Northern Mindanao,Division of Tangub City,Head Teacher I,School Head Positions,Unfilled,2
Region X - Northern Mindanao,Division of Tangub City,Head Teacher II,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Tangub City,Head Teacher III,School Head Positions,Unfilled,1
Region X - Northern Mindanao,Division of Tangub City,Head Teacher IV,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Tangub City,Head Teacher V,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Tangub City,Head Teacher VI,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Tangub City,School Principal I,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Tangub City,School Principal II,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Tangub City,School Principal III,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Tangub City,School Principal IV,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Tangub City,Assistant School Principal I,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Tangub City,Assistant School Principal II,School Head Positions,Unfilled,1
Region X - Northern Mindanao,Division of Tangub City,Assistant School Principal III,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Tangub City,Special School Principal I,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Tangub City,Special School Principal II,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Tangub City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Tandag City,Head Teacher I,School Head Positions,Filled,3
Region XIII - CARAGA,Division of Tandag City,Head Teacher II,School Head Positions,Filled,2
Region XIII - CARAGA,Division of Tandag City,Head Teacher III,School Head Positions,Filled,2
Region XIII - CARAGA,Division of Tandag City,Head Teacher IV,School Head Positions,Filled,1
Region XIII - CARAGA,Division of Tandag City,Head Teacher V,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Tandag City,Head Teacher VI,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Tandag City,School Principal I,School Head Positions,Filled,11
Region XIII - CARAGA,Division of Tandag City,School Principal II,School Head Positions,Filled,3
Region XIII - CARAGA,Division of Tandag City,School Principal III,School Head Positions,Filled,3
Region XIII - CARAGA,Division of Tandag City,School Principal IV,School Head Positions,Filled,4
Region XIII - CARAGA,Division of Tandag City,Assistant School Principal I,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Tandag City,Assistant School Principal II,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Tandag City,Assistant School Principal III,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Tandag City,Special School Principal I,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Tandag City,Special School Principal II,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Tandag City,Assistant Special School Principal I,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Tandag City,Head Teacher I,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Tandag City,Head Teacher II,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Tandag City,Head Teacher III,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Tandag City,Head Teacher IV,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Tandag City,Head Teacher V,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Tandag City,Head Teacher VI,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Tandag City,School Principal I,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Tandag City,School Principal II,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Tandag City,School Principal III,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Tandag City,School Principal IV,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Tandag City,Assistant School Principal I,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Tandag City,Assistant School Principal II,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Tandag City,Assistant School Principal III,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Tandag City,Special School Principal I,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Tandag City,Special School Principal II,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Tandag City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tanauan City,Head Teacher I,School Head Positions,Filled,18
Region IVA - CALABARZON,Division of Tanauan City,Head Teacher II,School Head Positions,Filled,2
Region IVA - CALABARZON,Division of Tanauan City,Head Teacher III,School Head Positions,Filled,16
Region IVA - CALABARZON,Division of Tanauan City,Head Teacher IV,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Tanauan City,Head Teacher V,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Tanauan City,Head Teacher VI,School Head Positions,Filled,1
Region IVA - CALABARZON,Division of Tanauan City,School Principal I,School Head Positions,Filled,23
Region IVA - CALABARZON,Division of Tanauan City,School Principal II,School Head Positions,Filled,8
Region IVA - CALABARZON,Division of Tanauan City,School Principal III,School Head Positions,Filled,6
Region IVA - CALABARZON,Division of Tanauan City,School Principal IV,School Head Positions,Filled,1
Region IVA - CALABARZON,Division of Tanauan City,Assistant School Principal I,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Tanauan City,Assistant School Principal II,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Tanauan City,Assistant School Principal III,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Tanauan City,Special School Principal I,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Tanauan City,Special School Principal II,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Tanauan City,Assistant Special School Principal I,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Tanauan City,Head Teacher I,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tanauan City,Head Teacher II,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tanauan City,Head Teacher III,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tanauan City,Head Teacher IV,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tanauan City,Head Teacher V,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tanauan City,Head Teacher VI,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tanauan City,School Principal I,School Head Positions,Unfilled,1
Region IVA - CALABARZON,Division of Tanauan City,School Principal II,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tanauan City,School Principal III,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tanauan City,School Principal IV,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tanauan City,Assistant School Principal I,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tanauan City,Assistant School Principal II,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tanauan City,Assistant School Principal III,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tanauan City,Special School Principal I,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tanauan City,Special School Principal II,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Tanauan City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Talisay City,Head Teacher I,School Head Positions,Filled,6
Region VII - Central Visayas,Division of Talisay City,Head Teacher II,School Head Positions,Filled,2
Region VII - Central Visayas,Division of Talisay City,Head Teacher III,School Head Positions,Filled,2
Region VII - Central Visayas,Division of Talisay City,Head Teacher IV,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Talisay City,Head Teacher V,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Talisay City,Head Teacher VI,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Talisay City,School Principal I,School Head Positions,Filled,23
Region VII - Central Visayas,Division of Talisay City,School Principal II,School Head Positions,Filled,2
Region VII - Central Visayas,Division of Talisay City,School Principal III,School Head Positions,Filled,8
Region VII - Central Visayas,Division of Talisay City,School Principal IV,School Head Positions,Filled,1
Region VII - Central Visayas,Division of Talisay City,Assistant School Principal I,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Talisay City,Assistant School Principal II,School Head Positions,Filled,1
Region VII - Central Visayas,Division of Talisay City,Assistant School Principal III,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Talisay City,Special School Principal I,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Talisay City,Special School Principal II,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Talisay City,Assistant Special School Principal I,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Talisay City,Head Teacher I,School Head Positions,Unfilled,6
Region VII - Central Visayas,Division of Talisay City,Head Teacher II,School Head Positions,Unfilled,1
Region VII - Central Visayas,Division of Talisay City,Head Teacher III,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Talisay City,Head Teacher IV,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Talisay City,Head Teacher V,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Talisay City,Head Teacher VI,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Talisay City,School Principal I,School Head Positions,Unfilled,2
Region VII - Central Visayas,Division of Talisay City,School Principal II,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Talisay City,School Principal III,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Talisay City,School Principal IV,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Talisay City,Assistant School Principal I,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Talisay City,Assistant School Principal II,School Head Positions,Unfilled,1
Region VII - Central Visayas,Division of Talisay City,Assistant School Principal III,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Talisay City,Special School Principal I,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Talisay City,Special School Principal II,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Talisay City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region XI - Davao,Division of Tagum City,Head Teacher I,School Head Positions,Filled,3
Region XI - Davao,Division of Tagum City,Head Teacher II,School Head Positions,Filled,7
Region XI - Davao,Division of Tagum City,Head Teacher III,School Head Positions,Filled,13
Region XI - Davao,Division of Tagum City,Head Teacher IV,School Head Positions,Filled,4
Region XI - Davao,Division of Tagum City,Head Teacher V,School Head Positions,Filled,1
Region XI - Davao,Division of Tagum City,Head Teacher VI,School Head Positions,Filled,7
Region XI - Davao,Division of Tagum City,School Principal I,School Head Positions,Filled,6
Region XI - Davao,Division of Tagum City,School Principal II,School Head Positions,Filled,7
Region XI - Davao,Division of Tagum City,School Principal III,School Head Positions,Filled,9
Region XI - Davao,Division of Tagum City,School Principal IV,School Head Positions,Filled,13
Region XI - Davao,Division of Tagum City,Assistant School Principal I,School Head Positions,Filled,0
Region XI - Davao,Division of Tagum City,Assistant School Principal II,School Head Positions,Filled,5
Region XI - Davao,Division of Tagum City,Assistant School Principal III,School Head Positions,Filled,0
Region XI - Davao,Division of Tagum City,Special School Principal I,School Head Positions,Filled,0
Region XI - Davao,Division of Tagum City,Special School Principal II,School Head Positions,Filled,0
Region XI - Davao,Division of Tagum City,Assistant Special School Principal I,School Head Positions,Filled,0
Region XI - Davao,Division of Tagum City,Head Teacher I,School Head Positions,Unfilled,0
Region XI - Davao,Division of Tagum City,Head Teacher II,School Head Positions,Unfilled,0
Region XI - Davao,Division of Tagum City,Head Teacher III,School Head Positions,Unfilled,3
Region XI - Davao,Division of Tagum City,Head Teacher IV,School Head Positions,Unfilled,1
Region XI - Davao,Division of Tagum City,Head Teacher V,School Head Positions,Unfilled,1
Region XI - Davao,Division of Tagum City,Head Teacher VI,School Head Positions,Unfilled,1
Region XI - Davao,Division of Tagum City,School Principal I,School Head Positions,Unfilled,2
Region XI - Davao,Division of Tagum City,School Principal II,School Head Positions,Unfilled,2
Region XI - Davao,Division of Tagum City,School Principal III,School Head Positions,Unfilled,0
Region XI - Davao,Division of Tagum City,School Principal IV,School Head Positions,Unfilled,0
Region XI - Davao,Division of Tagum City,Assistant School Principal I,School Head Positions,Unfilled,0
Region XI - Davao,Division of Tagum City,Assistant School Principal II,School Head Positions,Unfilled,2
Region XI - Davao,Division of Tagum City,Assistant School Principal III,School Head Positions,Unfilled,0
Region XI - Davao,Division of Tagum City,Special School Principal I,School Head Positions,Unfilled,0
Region XI - Davao,Division of Tagum City,Special School Principal II,School Head Positions,Unfilled,0
Region XI - Davao,Division of Tagum City,Assistant Special School Principal I,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Taguig and Pateros,Head Teacher I,School Head Positions,Filled,9
National Capital Region (NCR),Division of Taguig and Pateros,Head Teacher II,School Head Positions,Filled,7
National Capital Region (NCR),Division of Taguig and Pateros,Head Teacher III,School Head Positions,Filled,43
National Capital Region (NCR),Division of Taguig and Pateros,Head Teacher IV,School Head Positions,Filled,2
National Capital Region (NCR),Division of Taguig and Pateros,Head Teacher V,School Head Positions,Filled,0
National Capital Region (NCR),Division of Taguig and Pateros,Head Teacher VI,School Head Positions,Filled,26
National Capital Region (NCR),Division of Taguig and Pateros,School Principal I,School Head Positions,Filled,14
National Capital Region (NCR),Division of Taguig and Pateros,School Principal II,School Head Positions,Filled,17
National Capital Region (NCR),Division of Taguig and Pateros,School Principal III,School Head Positions,Filled,6
National Capital Region (NCR),Division of Taguig and Pateros,School Principal IV,School Head Positions,Filled,18
National Capital Region (NCR),Division of Taguig and Pateros,Assistant School Principal I,School Head Positions,Filled,0
National Capital Region (NCR),Division of Taguig and Pateros,Assistant School Principal II,School Head Positions,Filled,14
National Capital Region (NCR),Division of Taguig and Pateros,Assistant School Principal III,School Head Positions,Filled,0
National Capital Region (NCR),Division of Taguig and Pateros,Special School Principal I,School Head Positions,Filled,0
National Capital Region (NCR),Division of Taguig and Pateros,Special School Principal II,School Head Positions,Filled,0
National Capital Region (NCR),Division of Taguig and Pateros,Assistant Special School Principal I,School Head Positions,Filled,0
National Capital Region (NCR),Division of Taguig and Pateros,Head Teacher I,School Head Positions,Unfilled,4
National Capital Region (NCR),Division of Taguig and Pateros,Head Teacher II,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Taguig and Pateros,Head Teacher III,School Head Positions,Unfilled,11
National Capital Region (NCR),Division of Taguig and Pateros,Head Teacher IV,School Head Positions,Unfilled,5
National Capital Region (NCR),Division of Taguig and Pateros,Head Teacher V,School Head Positions,Unfilled,1
National Capital Region (NCR),Division of Taguig and Pateros,Head Teacher VI,School Head Positions,Unfilled,2
National Capital Region (NCR),Division of Taguig and Pateros,School Principal I,School Head Positions,Unfilled,2
National Capital Region (NCR),Division of Taguig and Pateros,School Principal II,School Head Positions,Unfilled,3
National Capital Region (NCR),Division of Taguig and Pateros,School Principal III,School Head Positions,Unfilled,2
National Capital Region (NCR),Division of Taguig and Pateros,School Principal IV,School Head Positions,Unfilled,1
National Capital Region (NCR),Division of Taguig and Pateros,Assistant School Principal I,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Taguig and Pateros,Assistant School Principal II,School Head Positions,Unfilled,5
National Capital Region (NCR),Division of Taguig and Pateros,Assistant School Principal III,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Taguig and Pateros,Special School Principal I,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Taguig and Pateros,Special School Principal II,School Head Positions,Unfilled,0
National Capital Region (NCR),Division of Taguig and Pateros,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Tagbilaran City,Head Teacher I,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Tagbilaran City,Head Teacher II,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Tagbilaran City,Head Teacher III,School Head Positions,Filled,1
Region VII - Central Visayas,Division of Tagbilaran City,Head Teacher IV,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Tagbilaran City,Head Teacher V,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Tagbilaran City,Head Teacher VI,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Tagbilaran City,School Principal I,School Head Positions,Filled,15
Region VII - Central Visayas,Division of Tagbilaran City,School Principal II,School Head Positions,Filled,11
Region VII - Central Visayas,Division of Tagbilaran City,School Principal III,School Head Positions,Filled,1
Region VII - Central Visayas,Division of Tagbilaran City,School Principal IV,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Tagbilaran City,Assistant School Principal I,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Tagbilaran City,Assistant School Principal II,School Head Positions,Filled,3
Region VII - Central Visayas,Division of Tagbilaran City,Assistant School Principal III,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Tagbilaran City,Special School Principal I,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Tagbilaran City,Special School Principal II,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Tagbilaran City,Assistant Special School Principal I,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Tagbilaran City,Head Teacher I,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Tagbilaran City,Head Teacher II,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Tagbilaran City,Head Teacher III,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Tagbilaran City,Head Teacher IV,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Tagbilaran City,Head Teacher V,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Tagbilaran City,Head Teacher VI,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Tagbilaran City,School Principal I,School Head Positions,Unfilled,1
Region VII - Central Visayas,Division of Tagbilaran City,School Principal II,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Tagbilaran City,School Principal III,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Tagbilaran City,School Principal IV,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Tagbilaran City,Assistant School Principal I,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Tagbilaran City,Assistant School Principal II,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Tagbilaran City,Assistant School Principal III,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Tagbilaran City,Special School Principal I,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Tagbilaran City,Special School Principal II,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Tagbilaran City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region XII - SOCCSKSARGEN,Division of Tacurong City,Head Teacher I,School Head Positions,Filled,5
Region XII - SOCCSKSARGEN,Division of Tacurong City,Head Teacher II,School Head Positions,Filled,4
Region XII - SOCCSKSARGEN,Division of Tacurong City,Head Teacher III,School Head Positions,Filled,2
Region XII - SOCCSKSARGEN,Division of Tacurong City,Head Teacher IV,School Head Positions,Filled,1
Region XII - SOCCSKSARGEN,Division of Tacurong City,Head Teacher V,School Head Positions,Filled,0
